id;benutzer;kategorie;prio;sachbearbeiter;datum;titel
329;benutzer172;Personalcomputer;2;supporter12;03.05.2012 08:37;Lehrerstation Zi012
330;benutzer172;Personalcomputer;1;supporter12;03.05.2012 08:39;Fehlernder Rechner
331;benutzer84;PC-Programm;3;supporter12;07.05.2012 06:47;PC im Zi 307
332;benutzer151;PC-Programm;1;supporter7;07.05.2012 08:42;Neuer Kopierer Zi303
333;benutzer186;PC-Programm;2;supporter2;07.05.2012 08:47;PC Zi 502 - Station 50214
334;blj-support;Personalcomputer;3;supporter12;07.05.2012 10:08;Test Informatikzimmer
335;blj-support;Personalcomputer;1;blj-support;07.05.2012 10:14;Test Informatikzimmer durch Lernende
336;benutzer131;Drucker;2;supporter12;08.05.2012 08:55;Stau
337;supporter3;Mail;2;bruno.peyer;08.05.2012 10:14;Beschädigte Mails
338;benutzer111;PC-Programm;3;supporter2;08.05.2012 18:21;Zimmer 204
339;benutzer226;Personalcomputer;2;supporter2;10.05.2012 07:59;"\Profilspeicherplatz ausgelastet\"""""
340;benutzer186;PC-Programm;3;supporter2;11.05.2012 09:16;PC-Zi 502 - Station 50214
342;benutzer186;PC-Programm;2;supporter2;15.05.2012 09:53;PC Zi 502
343;benutzer31;PC-Programm;3;supporter2;21.05.2012 12:18;PC-Nr. 01 im Zi. 401, KBS Solothurn
344;supporter2;Personalcomputer;1;supporter2;22.05.2012 08:45;Wiederholte Fehlermeldung
345;benutzer172;PC-Programm;3;supporter12;22.05.2012 13:31;Lern CD Version 3
346;benutzer172;Personalcomputer;2;supporter12;23.05.2012 10:58;CD/DVD Laufwerke gehen nicht auf
347;benutzer172;PC-Programm;1;supporter12;23.05.2012 11:12;Betr. Call 246
348;benutzer172;PC-Programm;1;supporter12;23.05.2012 11:45;Nochmal Call 346
349;benutzer154;Lokales Netzwerk;2;supporter12;23.05.2012 15:15;Netzwerklaufwerke Zi 010
350;supporter2;Absenztool;3;supporter5;24.05.2012 15:55;Zugang Ronald Vetter
351;supporter6;Anderes Tool;1;supporter5;31.05.2012 14:45;Schülerfeedback für Kl. UHRM2x
352;benutzer108;Drucker;2;patrick.schlaepfer;04.06.2012 14:24;Ständiger Papierstau im GISO_P14_P1
353;supporter15;Personalcomputer;2;supporter2;06.06.2012 12:06;Arbeitsplatz Rosy Werthmüller / PC
354;supporter12;Personalcomputer;1;supporter12;11.06.2012 15:20;Anpassung Grösse Image P15
356;benutzer111;PC-Programm;3;supporter2;21.06.2012 08:02;Kein Vision auf Lehrer PC
357;supporter2;Drucker;1;supporter2;25.06.2012 11:53;Drucker Zi318 BBZ Grenchen
358;benutzer60;Mail;2;supporter5;26.06.2012 10:58;"\Sicherheitsmeldung\"" Fortigate/gmail.com"""
359;benutzer111;PC-Programm;1;bruno.peyer;26.06.2012 14:44;Zimmer 204
360;benutzer115;Windows;2;supporter12;28.06.2012 06:54;PC Zimmer 004
361;supporter15;Personalcomputer;2;supporter12;04.07.2012 10:53;4 zusätzliche PCs für das SHII
362;benutzer116;Personalcomputer;1;supporter12;04.07.2012 11:01;Zi 015 Computer-Start
363;supporter2;Personalcomputer;1;supporter2;06.07.2012 13:06;KBSO_406_01
364;supporter6;Lokales Netzwerk;2;supporter2;10.07.2012 16:24;Neue Lehrer Accounts GIBS Grenchen
365;supporter6;Lokales Netzwerk;2;supporter2;10.07.2012 16:30;neue Lehrer Accounts ZeitZentrum
366;supporter12;Windows;2;supporter12;16.07.2012 08:31;PC Beat Pahud
367;supporter15;Lokales Netzwerk;3;supporter12;19.07.2012 10:13;Passwörter / Handhabung
368;benutzer131;Personenverwaltung;3;supporter12;06.08.2012 11:40;Passwort von M. Schluep zurücksetzen
369;benutzer56;Lokales Netzwerk;2;supporter5;06.08.2012 14:48;Bereichslaufwerke
370;benutzer108;Mail;3;supporter5;08.08.2012 15:51;Schul-Outlook Pendenzen
371;benutzer212;Personalcomputer;3;supporter12;09.08.2012 09:18;Zusätzlicher PC für Zimmer 304 (Hauptgebäude)
372;supporter12;Drucker;2;supporter7;13.08.2012 06:36;Drucker 308
373;supporter12;Drucker;2;supporter7;13.08.2012 06:37;Scanner 303
374;benutzer108;Personenverwaltung;3;supporter12;13.08.2012 19:53;Passwort Madeleine Schluep
375;benutzer131;Drucker;3;supporter12;14.08.2012 10:28;Beide Drucker störungsanfällig bis k.o,.
376;benutzer91;PC-Programm;3;supporter12;14.08.2012 14:16;Weiterhin Problem GISO_P14_ P2
377;benutzer180;Windows;2;supporter2;14.08.2012 17:34;Irrtümlicherweise gelöschte Datei
378;supporter5;Beamer;3;supporter12;18.08.2012 10:51;Beamer in Zimmer 107 findet Quelle nicht
379;benutzer151;Drucker;3;supporter7;20.08.2012 08:06;Kopierer / Scanner Zi 303
380;benutzer66;Personalcomputer;1;supporter12;21.08.2012 17:29;Zi 114
381;benutzer120;PC-Programm;1;supporter2;27.08.2012 11:02;Klassenlisten
382;benutzer226;Lokales Netzwerk;2;supporter2;27.08.2012 15:35;Drucker Zimmer 307 GIBSGrenchen
383;benutzer34;PC-Programm;1;supporter2;28.08.2012 08:53;Audacity
385;benutzer215;Lokales Netzwerk;3;supporter12;03.09.2012 12:59;Kein Internetzugang im SH2 im 2. Stock und PC-Raum
386;supporter2;Helpdesktool;3;supporter5;03.09.2012 14:39;Kein Zugriff auf Helpdesktool im EBZ
387;benutzer226;Personalcomputer;3;supporter2;03.09.2012 15:37;Lehrer-PC Z 307 GIBSG
388;benutzer215;PC-Programm;1;supporter12;04.09.2012 11:28;PC wechsel im Vorbereitungszimmer 512
389;benutzer128;Notenool;3;supporter5;04.09.2012 15:23;Überspielung Daten
390;supporter10;Helpdesktool;2;supporter5;04.09.2012 16:27;"Jens nicht als \Löser\"" eingerichtet"""
391;benutzer117;Absenztool;2;supporter5;04.09.2012 16:37;Probleme mit Absenzeintrage
392;supporter12;PC-Programm;1;supporter12;05.09.2012 06:38;Update ZImmer 006
393;supporter12;PC-Programm;3;supporter12;05.09.2012 06:39;Stundensammler
394;benutzer117;Lokales Netzwerk;1;supporter2;05.09.2012 11:38;Verteilerliste KBS anpassen
395;supporter10;Mail;2;supporter10;06.09.2012 07:34;SPAM - Filer Migration
396;benutzer110;PC-Programm;2;supporter2;06.09.2012 10:37;Interwrite Workspace Zi 203
397;benutzer131;Personalcomputer;2;supporter10;10.09.2012 16:16;Absturz/Kurzschluss?
398;benutzer67;PC-Programm;2;supporter12;11.09.2012 11:32;"Probleme \Stundenplaner-PC\"""""
399;supporter12;Lokales Netzwerk;2;supporter10;12.09.2012 11:21;PC Zimmer 307
400;supporter16;Internet;2;supporter10;14.09.2012 09:41;VPN mit MAC
401;benutzer200;PC-Programm;2;supporter12;17.09.2012 16:59;Beamerbild flimmert stark
402;benutzer175;Drucker;2;supporter12;18.09.2012 11:34;mouse - problem
403;benutzer10;PC-Programm;2;supporter12;19.09.2012 11:11;SW Installation
404;benutzer117;Personenverwaltung;2;supporter5;20.09.2012 14:19;für GIBS Grenchen, Irène Thurnheer
405;supporter12;Drucker;1;supporter12;20.09.2012 14:57;Drucker im Vorbereitungszimmer Küche
406;supporter12;Personalcomputer;1;supporter12;21.09.2012 16:39;Lautsprecher ZI 006
407;benutzer186;PC-Programm;3;supporter2;24.09.2012 08:23;PC50201
408;benutzer186;PC-Programm;2;supporter2;24.09.2012 08:49;Lehrer-PC Zi 502
409;benutzer154;Beamer;2;supporter12;24.09.2012 13:03;Beamer Zi 011
410;benutzer186;Drucker;2;supporter2;24.09.2012 15:20;Zi 502 - Druckerprobleme
411;benutzer73;Personalcomputer;3;supporter2;25.09.2012 08:13;PC aufstarten
412;supporter10;Helpdesktool;2;supporter5;25.09.2012 08:56;Anhänge ohne Endung
413;benutzer206;Drucker;3;supporter2;25.09.2012 15:41;Drucker 318
414;benutzer210;PC-Programm;2;supporter2;26.09.2012 13:51;explorer
416;benutzer131;Personenverwaltung;2;supporter5;27.09.2012 07:47;Account für Lernenden
417;benutzer154;Personalcomputer;2;supporter12;28.09.2012 08:24;Arbeitsspeicher
418;benutzer180;Personalcomputer;2;supporter12;28.09.2012 15:02;PC im Pavillon P13
419;supporter10;Lokales Netzwerk;2;supporter5;10.10.2012 11:39;v-Server mehr RAM zuweisen
420;benutzer169;Notenool;1;supporter5;12.10.2012 12:20;Noten durch mehere Lehrer eintragen
421;benutzer15;Mail;3;supporter10;15.10.2012 08:12;Mail im Schulnetz funktioniert nicht
422;supporter12;Drucker;1;supporter12;16.10.2012 08:35;Scaner 
423;supporter12;Personalcomputer;2;supporter12;17.10.2012 09:32;PCs ab- und aufbauen
424;benutzer169;Drucker;2;supporter10;22.10.2012 09:33;Toner für P303_P1 ersetzen
425;benutzer73;Personalcomputer;3;supporter2;22.10.2012 09:48;Start nicht möglich
426;benutzer148;Lokales Netzwerk;3;supporter5;22.10.2012 10:23;Schülerkennwort ändern
427;benutzer44;Drucker;1;supporter10;22.10.2012 10:54;Drucker im Zimmer 009
428;benutzer73;Personalcomputer;1;supporter2;22.10.2012 16:23;PC 09 Zimmer 309 - Kein Aufstarten möglich
429;benutzer50;PC-Programm;3;supporter12;24.10.2012 07:14;Kein Ton bei DVD
430;supporter6;Lokales Netzwerk;1;supporter10;24.10.2012 08:04;GIBS Grenchen Drucker Zi 308 / Sekr
431;benutzer139;Drucker;2;supporter12;25.10.2012 16:07;008 Drucker
432;benutzer73;Personalcomputer;3;supporter2;26.10.2012 08:15;PC kann nicht angemeldet werden
433;supporter5;Lokales Netzwerk;1;supporter10;26.10.2012 09:14;Access Point Zimmer 102
434;benutzer111;Personalcomputer;3;supporter2;26.10.2012 15:44;PC20422
435;benutzer180;Personalcomputer;2;supporter10;26.10.2012 17:30;PC  GISO_P13_02
437;benutzer153;Personalcomputer;1;supporter10;29.10.2012 14:44;Zimmer 401 Rosengarten
438;benutzer83;Windows;3;supporter12;31.10.2012 13:12;Drucker  GIS2-531P1
439;supporter6;PC-Programm;1;supporter10;31.10.2012 16:02;Schulnetz Gre
440;benutzer40;PC-Programm;2;supporter10;02.11.2012 11:09;Zimmer 203
441;benutzer108;Mail;2;supporter10;02.11.2012 12:29;Merkus Minder
443;benutzer110;PC-Programm;3;supporter10;05.11.2012 07:30;Fehlermeldung PC Zi 203
444;benutzer128;Notenool;3;supporter5;05.11.2012 08:30;Klasse
445;supporter12;Drucker;1;supporter12;05.11.2012 09:57;Drucker P14Ps
446;benutzer110;PC-Programm;3;supporter10;05.11.2012 10:09;Fehlermeldung PC Zi 203 / KBS Solothurn
447;benutzer135;PC-Programm;2;supporter10;06.11.2012 09:54;Fehlende Software für Beamer und Visualizer
448;benutzer153;Personalcomputer;1;supporter10;06.11.2012 11:42;PC startet nicht
449;supporter12;Windows;1;supporter12;06.11.2012 16:48;3 PCs im Informatikraum 541
450;benutzer180;Drucker;2;supporter12;07.11.2012 15:25;hp-Drucker
451;benutzer73;Personalcomputer;3;supporter10;07.11.2012 16:22;Aufstarten PCs
452;benutzer154;Drucker;3;supporter7;08.11.2012 09:45;Zimmer 010
453;benutzer73;PC-Programm;1;supporter10;09.11.2012 09:54;Vision mit falschen PC-Stationen
454;benutzer111;PC-Programm;3;supporter10;09.11.2012 11:48;Defekter PC im Zimmer 204
455;benutzer128;Notenool;2;supporter5;12.11.2012 07:04;Anfrage von Gabi van der Floe
456;benutzer110;PC-Programm;2;supporter10;12.11.2012 09:15;Stift zum Interwriteworkspace-Programm
457;benutzer186;PC-Programm;2;supporter10;12.11.2012 10:53;Zi 502 - PC Nr. 50220 und 50203
458;benutzer186;Personalcomputer;1;supporter10;12.11.2012 17:13;PC Zi 502
459;supporter12;PC-Programm;1;supporter12;12.11.2012 17:32;Drucker Finlayson
460;supporter12;PC-Programm;2;supporter12;12.11.2012 17:33;Anpassung Solidedge Standart Parts
461;benutzer84;PC-Programm;1;supporter12;13.11.2012 08:01;Image Zi 307
462;supporter10;Helpdesktool;2;supporter5;13.11.2012 14:16;User Martin Jenni
463;benutzer128;Personalcomputer;3;supporter10;13.11.2012 16:17;Bildschirm Zimmer 204
464;supporter6;PC-Programm;2;supporter10;13.11.2012 16:22;Profil-Server / alte PC für Zeitzentrum
465;supporter6;PC-Programm;1;supporter10;13.11.2012 16:36;tief
466;supporter12;Anderes Tool;1;supporter12;14.11.2012 07:12;VPN einrichten
467;benutzer128;Mail;3;supporter10;14.11.2012 09:36;Posteingang
468;supporter12;Drucker;2;supporter12;14.11.2012 13:19;Druckerfunktion nach Zeitumstellung
469;benutzer169;Drucker;2;supporter10;14.11.2012 15:38;Standart Drucker wird immer wieder gewechselt
470;benutzer83;PC-Programm;3;supporter10;14.11.2012 17:22;Drucker GIS2_531_P1
471;benutzer154;PC-Programm;3;supporter12;15.11.2012 11:02;Zi 011
472;supporter14;PC-Programm;3;supporter12;15.11.2012 13:43;Drucker Zi006
473;benutzer111;Personalcomputer;3;supporter10;15.11.2012 16:56;LehrerPC im Zimmer 204
474;benutzer111;Personalcomputer;3;supporter10;16.11.2012 09:44;Lehrer-PC im Zimmer 204
475;supporter15;Drucker;1;supporter10;16.11.2012 11:03;Drucker druckt Streifen
476;benutzer131;Anderes Tool;2;supporter5;19.11.2012 08:23;Kalendereintrag von Pensionierten
477;supporter10;Helpdesktool;2;supporter5;19.11.2012 09:05;Call 476 - Kategorie
478;benutzer139;Beamer;2;supporter10;19.11.2012 09:09;Zimmer 107 Hellraumprojektor
479;benutzer131;Drucker;2;supporter12;19.11.2012 09:26;permanenter Stau
480;benutzer131;Personalcomputer;3;supporter12;20.11.2012 09:53;Netcim - Geschichte
481;benutzer172;PC-Programm;2;supporter12;20.11.2012 15:19;Komisches Fenster
482;benutzer51;PC-Programm;2;supporter10;21.11.2012 08:19;Meldung auf Desktop
483;benutzer172;Windows;1;supporter12;21.11.2012 08:36;Zimmer 012 PC 24
484;benutzer111;Personalcomputer;3;supporter10;22.11.2012 17:01;PC und Drucker im Zimmer 204
485;supporter10;Helpdesktool;2;supporter5;23.11.2012 13:27;Wünsche
486;benutzer117;Drucker;2;supporter10;27.11.2012 09:50;Drucker KBGR_315_P1
487;benutzer111;Beamer;2;supporter10;27.11.2012 19:16;Beamer in Zimmer 401 funktioniert nicht
488;supporter6;PC-Programm;2;supporter10;29.11.2012 16:27;ZeitZentrum - Drucker Lehrerzi und PDF sw
489;benutzer226;Personalcomputer;2;supporter10;04.12.2012 08:19;PC Zimmer 204 BBZGR
491;benutzer151;Drucker;2;supporter10;04.12.2012 09:03;Drucken am Drucker Zi 303
492;benutzer186;PC-Programm;2;supporter2;04.12.2012 09:56;PC Zi 502, PC 50202
493;benutzer111;Beamer;3;supporter2;04.12.2012 16:50;Zimmer 401
494;benutzer117;PC-Programm;1;supporter2;05.12.2012 10:39;Vision Grenchen Zimmer 311
495;benutzer116;Mail;3;supporter5;05.12.2012 10:51;E-Mail öffnen
496;supporter2;Drucker;2;supporter10;05.12.2012 11:30;Farblaser HP CP3525 Sekretariat
497;benutzer153;Drucker;1;supporter2;05.12.2012 12:37;Druckproblem mit IE
498;benutzer171;Anderes Tool;2;supporter10;05.12.2012 14:10;BSCW
499;benutzer128;Drucker;2;supporter10;06.12.2012 08:41;Drucker 205
500;benutzer108;Drucker;2;supporter10;06.12.2012 11:26;Probleme Drucker GISO_P14_P1
501;benutzer111;Personalcomputer;2;supporter10;06.12.2012 13:16;Lehrer-PC Zimmer 311
502;benutzer116;Drucker;1;supporter10;07.12.2012 13:12;Verbindung: Personalcomputer - Drucker
503;benutzer148;PC-Programm;1;supporter12;10.12.2012 08:37;PC GISO_P19_04
504;benutzer73;PC-Programm;2;supporter2;10.12.2012 11:38;Vision
505;benutzer186;PC-Programm;2;supporter2;10.12.2012 11:48;Vision Zi 502
506;benutzer6;Drucker;2;supporter10;11.12.2012 14:48;Drucker KBS 208 P1
507;benutzer106;Personalcomputer;2;supporter12;11.12.2012 16:21;PC GIS2_530_01
508;benutzer164;Drucker;2;supporter10;12.12.2012 10:17;Drucker KBS 208 P1
509;supporter12;Lokales Netzwerk;3;supporter12;17.12.2012 08:52;3. Stock kein Netz
510;benutzer108;Drucker;2;supporter10;17.12.2012 15:19;Drucker GISO_P14_P1
511;supporter10;Helpdesktool;2;supporter5;18.12.2012 14:54;ZZ  PSW-Reset-Tool
512;supporter6;Helpdesktool;2;supporter5;18.12.2012 15:36;H. Imboden (ZeitZentrum) 
513;supporter2;PC-Programm;1;supporter2;20.12.2012 08:33;GIGR_307_13
514;supporter2;PC-Programm;1;supporter2;20.12.2012 08:33;GIGR_307_21
515;benutzer169;Lokales Netzwerk;2;supporter10;04.01.2013 14:41;Zugriff auf Video Laufwerk
516;benutzer169;Lokales Netzwerk;1;supporter2;04.01.2013 14:46;Ablage von Software
517;benutzer169;Beamer;1;supporter10;04.01.2013 15:00;Bildschirm und Beamer Format
518;benutzer169;Anderes Tool;2;supporter5;04.01.2013 16:18;Listentool: Adressen der Lehrmeister fehlt
520;benutzer169;Anderes Tool;1;supporter5;04.01.2013 16:22;Kein Zugriff auf Tool Leistungsbericht
521;benutzer73;PC-Programm;2;supporter2;05.01.2013 12:12;Speicherplatz und Vision
522;benutzer15;Drucker;2;supporter2;07.01.2013 07:56;Drucker  hinzufügen
523;supporter16;Personalcomputer;2;supporter2;07.01.2013 10:34;Fehlerhafte PCs in Zimmer 401 Rosengarten
524;benutzer169;PC-Programm;1;supporter10;07.01.2013 11:42;Microsofot Home Use Programm (HUP)
525;benutzer169;PC-Programm;1;supporter10;07.01.2013 11:44;Flate Rate für Mobiltelefone 
526;supporter2;Lokales Netzwerk;1;supporter2;08.01.2013 09:47;Einrichten eines neuen Accounts im EBZ
527;supporter12;Personalcomputer;2;supporter10;09.01.2013 07:51;Austausch PC SH2_512
528;supporter12;Personalcomputer;2;supporter10;09.01.2013 07:51;Austausch PC SH2_530
529;supporter16;Lokales Netzwerk;1;supporter2;09.01.2013 09:06;Anmeldung an PC in Zimmer 305 nicht möglich
530;benutzer95;Drucker;2;supporter2;10.01.2013 08:11;Drucker P19 P1
531;benutzer95;PC-Programm;2;supporter2;10.01.2013 08:15;Drucker P19 P2
532;benutzer172;Drucker;1;supporter10;10.01.2013 11:27;Kartuschenwechsel Zi 012
533;supporter6;Personalcomputer;3;supporter2;10.01.2013 13:14;Ersatz PC Vorbereitungszimmer GIBS GRe
534;supporter12;Mail;2;supporter5;10.01.2013 13:34;Call User
535;benutzer27;Internet;3;supporter2;10.01.2013 18:05;Fehlermeldung mit Blockade des Systems
536;benutzer226;Anderes Tool;3;supporter2;11.01.2013 07:56;Passwörter für Lernende neu setzen
537;benutzer60;Drucker;3;supporter2;11.01.2013 11:08;"Drucker geht nicht - \Zugriff verweigert\"""""
538;supporter3;PC-Programm;2;supporter2;11.01.2013 13:48;Auswertung First Prüfung (adobe reader)
539;benutzer148;Personalcomputer;3;supporter12;14.01.2013 08:58;P19_04
540;benutzer60;Personalcomputer;2;supporter12;14.01.2013 10:45;diverse DVD-Laufwerke lassen sich nicht öffnen
541;benutzer154;PC-Programm;3;supporter10;14.01.2013 10:59;Zimmer 011
542;benutzer186;PC-Programm;2;supporter2;15.01.2013 07:50;PC-Zi 502
543;benutzer128;PC-Programm;3;supporter2;16.01.2013 08:22;Freigabe Zimmerpläne
544;benutzer108;Windows;2;supporter2;16.01.2013 09:04;Fehlende persönliche Laufwerke 
545;benutzer180;Drucker;2;supporter12;17.01.2013 08:37;PC nicht mit Drucker verbunden
546;benutzer169;Windows;2;supporter10;17.01.2013 08:59;Grösse des User Profiles 
547;benutzer164;Drucker;3;supporter2;17.01.2013 15:01;Drucker 
548;benutzer186;PC-Programm;3;supporter2;21.01.2013 09:15;Vision PC-Zi 502
549;supporter6;Drucker;2;supporter10;21.01.2013 10:48;GIBS Gre Zi 307
550;benutzer131;PC-Programm;1;supporter2;21.01.2013 12:01;"\Zuletzt verwendet\"" in der Taskliste anzeigen"""
551;supporter14;Windows;3;supporter2;21.01.2013 13:50;Name Drucker Zi104
552;benutzer73;PC-Programm;3;supporter2;21.01.2013 15:02;PC startet nicht
553;supporter14;Notebook;2;supporter7;23.01.2013 09:43;Notebooks für MAP-Korrektur
554;supporter14;Drucker;1;supporter10;23.01.2013 09:53;Defaulteinstellungen Drucker Zi006
555;benutzer128;PC-Programm;1;supporter2;28.01.2013 07:12;Fehlermeldung
556;supporter2;Personalcomputer;1;supporter2;29.01.2013 09:40;Neuer PC für Hauswarte
557;supporter2;Lokales Netzwerk;1;supporter2;29.01.2013 09:48;Netzwerklaufwer Haustechnik einrichten
558;benutzer128;PC-Programm;3;supporter2;30.01.2013 07:19;Outlool und RuntimeError
559;benutzer7;Lokales Netzwerk;2;supporter12;30.01.2013 11:54;Laufwerk P / kein Zugriff
560;benutzer200;PC-Programm;1;supporter10;30.01.2013 16:47;Kein Zugang zum Surfer/Internet
561;benutzer128;PC-Programm;3;supporter10;31.01.2013 07:38;>>Externe E-Mails<<
562;benutzer84;Internet;1;supporter5;01.02.2013 07:51;Fehlerhafte Sicherheitszertifikate
563;benutzer73;PC-Programm;3;supporter2;01.02.2013 08:03;"Vision; WLAN KBS; PC-Zi 204"
564;benutzer67;Personalcomputer;3;supporter2;01.02.2013 08:39;Persönliches Laufwerk P beim Starten des PC
565;supporter3;PC-Programm;3;supporter2;07.02.2013 15:41;Tastaturschreibekurs im KV
566;supporter12;Personalcomputer;2;supporter12;15.02.2013 10:37;PCs im 012 ersetzen
567;supporter12;Personalcomputer;1;supporter12;15.02.2013 10:38;PC 210 ersetzen
568;supporter12;Windows;1;supporter12;15.02.2013 10:40;Diverse Supportjobs in den Sportferein
569;supporter6;PC-Programm;2;supporter2;18.02.2013 09:22;ZZ Gre anmeldung Lehrer
570;benutzer226;PC-Programm;3;supporter10;18.02.2013 11:59;Scannen im Vorbereitungszimmer 107 GIBSGR
571;benutzer226;PC-Programm;3;supporter10;18.02.2013 15:41;Drucken von PC auf Drucker Z 107 ZZ
572;benutzer200;Internet;3;supporter10;19.02.2013 18:55;Kein Zugang zum Surfer/Internet
573;benutzer169;Drucker;2;supporter10;21.02.2013 09:06;Falscher Druckertreiber für P303_P1
574;benutzer73;Personalcomputer;3;supporter2;22.02.2013 09:18;PCs können nicht gestartet werden.
575;benutzer111;PC-Programm;2;supporter10;22.02.2013 16:17;Datien gelöscht
576;supporter14;Windows;2;supporter10;25.02.2013 08:00;Anmeldung an der Domäne
577;benutzer60;Drucker;1;supporter7;25.02.2013 09:54;Drucker nicht vorinstalliert
578;benutzer73;Personalcomputer;3;supporter2;25.02.2013 13:16;PC kann nicht starten
579;benutzer120;PC-Programm;3;supporter2;25.02.2013 15:11;CAD
580;benutzer83;Personalcomputer;1;supporter12;27.02.2013 15:47;GIS2 PC531.07
581;supporter5;Lokales Netzwerk;2;supporter10;28.02.2013 11:00;Kein Zugriff auf edu.bbzsogr.ch von WLAN kbs
583;benutzer51;Personalcomputer;3;supporter2;01.03.2013 09:54;PC Zimmer 307 in Grenchen
584;supporter10;Internet;1;supporter10;01.03.2013 15:34;WLAN Grenchen
585;benutzer132;PC-Programm;2;supporter2;04.03.2013 08:04;Steuererklärungsformulare
586;benutzer169;PC-Programm;1;supporter10;04.03.2013 09:58;PDF-Creator
587;benutzer149;Personalcomputer;2;supporter2;04.03.2013 14:20;Zimmer 311, Grenchen, PC 07
588;benutzer61;Drucker;1;supporter10;06.03.2013 09:10;GISO_207_P1 - tut nicht
589;benutzer20;Drucker;2;supporter10;06.03.2013 14:20;Zimmer 010, PC 10
590;benutzer51;Personalcomputer;1;supporter2;07.03.2013 09:51;PC Raum 307
591;benutzer51;Personalcomputer;3;supporter2;07.03.2013 13:19;PC Zimmer 307 in Grenchen
592;benutzer51;Personalcomputer;3;supporter2;07.03.2013 13:49;PC_Zimmer 307 Grenchen Fehlermeldung
593;benutzer73;PC-Programm;2;supporter10;08.03.2013 09:46;Drucker KBS Zi 309
594;benutzer128;Personalcomputer;1;supporter2;08.03.2013 14:29;Zimmer 401
595;benutzer51;Personalcomputer;1;supporter10;08.03.2013 14:57;PC Raum 307 Grenchen
596;benutzer123;PC-Programm;2;supporter10;11.03.2013 08:37;Drucker PC Raum Pavillon
597;benutzer123;PC-Programm;2;supporter10;11.03.2013 08:39;Drucker PC Raum Pavillon
598;benutzer155;Lokales Netzwerk;2;supporter10;12.03.2013 08:48;VPN - Probleme
599;benutzer152;PC-Programm;2;supporter10;12.03.2013 11:04;AutoCad, RK-Menue
600;benutzer152;PC-Programm;3;supporter10;12.03.2013 15:53;RK-Menü
601;benutzer154;Internet;2;supporter10;13.03.2013 08:01;Links in Dokument gehen nicht
602;supporter10;Helpdesktool;2;supporter5;13.03.2013 09:44;Session TimeOut
603;benutzer117;Mail;1;supporter10;13.03.2013 15:28;Mail Accounts Löschen
604;benutzer51;Personalcomputer;2;supporter10;14.03.2013 08:56;PC Raum 307 in Grenchen (Maus)
605;benutzer51;Personalcomputer;2;supporter10;14.03.2013 09:11;PC Raum 307 Grenchen
606;benutzer111;Personalcomputer;2;supporter10;14.03.2013 12:15;Kein Anmeldeserver vorhanden
607;benutzer111;Personalcomputer;3;supporter2;14.03.2013 16:59;Lehrer-PC im Zimmer 204
608;benutzer51;PC-Programm;3;supporter10;15.03.2013 10:07;Bildschirmauflösung PC Raum 307 Grenchen
609;benutzer186;PC-Programm;2;supporter2;18.03.2013 08:32;PC Zi 502 - PCs 50214/50215
610;benutzer169;Personenverwaltung;2;supporter5;18.03.2013 11:26;Zugriff für Schüler mit Account von Solothurn auf BBZ Grenchen
611;benutzer186;PC-Programm;3;supporter10;19.03.2013 08:20;PC Zi 502
613;benutzer151;PC-Programm;3;supporter12;19.03.2013 14:37;Internet-Filme
614;benutzer97;Lokales Netzwerk;1;supporter2;20.03.2013 11:06;Zugriff auf Outlook Web App
615;supporter2;PC-Programm;1;supporter10;20.03.2013 11:56;Test Tschumi
616;benutzer73;PC-Programm;3;supporter2;20.03.2013 14:11;Office: Konflikte mit alten Dateiendungen
617;benutzer131;Mail;3;supporter12;21.03.2013 15:53;Volles Postfach
618;benutzer202;Mail;1;supporter10;22.03.2013 09:54;OWA verbinden mit Iphone
619;benutzer57;Drucker;2;supporter10;26.03.2013 09:26;Drucken ZZ Z107
620;benutzer135;PC-Programm;3;supporter2;26.03.2013 10:43;Workspace Zimmer 203
621;benutzer95;Drucker;2;supporter10;26.03.2013 10:48;Drucker P19 P1
622;benutzer132;Personalcomputer;3;supporter10;28.03.2013 17:00;Profilspeicherplatz
623;benutzer169;PC-Programm;2;supporter2;03.04.2013 07:40;Call 516
624;benutzer172;Windows;2;supporter12;03.04.2013 09:29;Hilfeprogramm funktioniert nicht
625;benutzer172;Personalcomputer;2;supporter12;03.04.2013 11:08;012-13
626;benutzer172;Personalcomputer;2;supporter12;03.04.2013 11:21;012-02
627;benutzer83;Lokales Netzwerk;2;supporter10;03.04.2013 13:12;Switch SH2 - 2. Stock
628;benutzer128;Mail;3;supporter10;04.04.2013 13:11;Externe Mails
629;benutzer60;Windows;1;supporter10;05.04.2013 11:07;Windows 7-Lizenz
630;benutzer111;PC-Programm;1;supporter2;05.04.2013 15:42;Zimmer 204
631;benutzer73;Windows;3;supporter2;19.04.2013 09:12;Fehler beim Öffnen von alten Office-Dateien muster.doc
632;supporter15;Windows;1;supporter10;22.04.2013 08:08;Test
633;benutzer186;PC-Programm;2;supporter2;22.04.2013 08:33;PC-Zi 502, Station 50214
634;benutzer200;PC-Programm;3;supporter5;25.04.2013 08:07;BSCW 
635;benutzer139;Lokales Netzwerk;3;supporter2;25.04.2013 10:42;Zimmer008 keine Netzwerk
636;supporter15;PC-Programm;3;supporter2;26.04.2013 08:21;Schul-PC von Rolf Schütz
637;benutzer131;Mail;3;supporter2;26.04.2013 09:00;Ich will keine Mails mehr
